Top 1%,Top 5%,Top 10%,country,year,total,count,mean,std,max,min,gini,q_25%,q_50%,q_75%
0.12862877223217153,0.282777445043434,0.40443942384697257,Austria,2016,1514849169.58,105780,14320.752217621477,87519.8655422193,26687999.040000003,1.21,0.5575653830791897,3354.175,9046.779999999999,17675.165
0.16114415219721462,0.31954288092573196,0.4528974744515491,Belgium,2016,712315375.8600001,38840,18339.736762615863,186399.58264389884,35043194.47,0.73,0.6271399059802981,2386.3375,9269.7,22748.5025
0.4135701854869934,0.6884044852620989,0.7982636927549179,Bulgaria,2016,1125414951.0184095,65120,17282.170623747075,104968.66340669245,6447868.542124217,0.711745270036979,0.8561371712901782,757.5734726760508,2120.2302740401215,7726.1280384601905
0.23976632543945256,0.6062718219097034,0.7759503369333469,Czechia,2016,1136886371.2776816,29678,38307.37823565205,128270.45285841316,8295185.5601722365,2.683484984875594,0.8447105818338153,1078.422423698627,3963.505839868057,18047.781509390923
0.21666911319168616,0.4214257055587202,0.53969539329578,Germany,2016,6389691245.910001,251045,25452.374060068916,103167.23897384094,21640341.94,2.24,0.6608672898925317,4217.31,10820.18,24877.97
0.1634031499162963,0.40044831991591995,0.5696124220196118,Denmark,2016,988849811.4256663,37387,26449.028042519225,76166.00127793071,6652546.452002549,0.1341960616086548,0.7319942950972009,1833.2523976358343,6024.597989858952,26827.067578155395
0.36230487855106086,0.6743888984702405,0.8183933769136497,Estonia,2016,515139915.65999997,22483,22912.418968109236,167333.53797289074,16576486.48,1.72,0.8671141261108405,877.07,2175.6,7423.59
0.3037748044810252,0.5339867395039092,0.6801860693940665,Spain,2016,7287902135.67,829078,8790.36970667416,169576.21816033166,123315050.2,100.0,0.7927581938517267,530.51,1552.595,6131.75
0.19672639135769865,0.3783535759936267,0.5186219317995308,France,2016,8741661380.11,448418,19494.447992966387,119516.70613567048,50939529.04,0.11,0.7099296607843661,407.26,6340.744999999999,24494.125
0.1620394827191225,0.35987829840176677,0.5016369119524217,United Kingdom,2016,3883832226.9805293,151311,25667.87759634481,94476.30511446639,15154147.697698537,0.1221421087610354,0.654595955636523,3537.771537863595,10793.698151212708,28442.00466042202
0.20752363804072127,0.43148453288539074,0.5828776477619371,Greece,2016,2950874583.79,682117,4326.05342454447,38743.93869285608,25675478.630000003,0.11,0.7030053124496296,586.92,1342.68,3794.37
0.37552849488879514,0.5799577323629946,0.6949741411369833,Croatia,2016,214943455.8017684,63220,3399.928120875805,48882.6218089475,10147823.514704576,0.1506773619425918,0.7712768747082022,415.79352516161714,857.158308882822,1995.781602314923
0.14838892234032672,0.32590755716036945,0.45072852546733105,Ireland,2016,1616622573.0099998,91974,17576.95188868593,43024.14478556444,6497616.34,4.94,0.5907376175310957,3979.3050000000003,9892.24,19892.995
0.3127950472373004,0.5075780696448486,0.6253670689281698,Italy,2016,2105142605.92,145808,14437.771630637551,145735.52353573736,38288495.21,0.24,0.7336183812252514,1650.5,4648.344999999999,11476.065
0.38185306367122135,0.6361387031610833,0.748777154535236,Lithuania,2016,237971382.4579339,152913,1556.2534412243165,28562.584921253605,9897892.987764085,0.1125560319472233,0.8082706241891879,143.84068482687002,295.0834097546903,763.7430307762027
0.07640054569564968,0.21102662468574512,0.3306552968953489,Luxembourg,2016,59798871.44,1727,34625.86649681529,37999.16208874426,395161.0,1.02,0.5204806700483897,6008.3150000000005,27686.559999999998,49590.885
0.34897550227014656,0.6269139380733924,0.7560267656679658,Latvia,2016,355986698.04,60483,5885.731495461535,30145.804123568832,3001722.26,1.91,0.8141900514327037,513.5,894.18,2625.26
0.18276576089659358,0.33219845670845677,0.46115231522259403,Netherlands,2016,1223525196.37784,46501,26311.803969330555,267507.67310478835,50076270.260000005,0.46,0.6119191768953839,4466.75,14676.42,29558.56
0.33585809623706264,0.5747513806820234,0.6999021654946492,Poland,2016,5212412658.837152,1183787,4403.167680365768,45948.43492765373,16008832.41617919,0.3516150798478739,0.7791788974220931,456.8605055479395,941.4423439910855,2596.6902572294766
0.31212395292901324,0.5870698946781333,0.7197846231314035,Portugal,2016,1331888899.0700002,191685,6948.320938362418,35504.67151731539,6178569.1,0.17,0.7948200477517076,660.94,1256.25,3806.29
0.47420424766656294,0.7076573538099361,0.794298106228884,Romania,2016,446969550.4107606,623432,716.9499647287283,8730.025744587965,2990482.304222967,0.1039925363990491,0.831930330830909,65.1170286430642,119.68877157383332,276.57589467832224
0.19236466495145865,0.4506528808682659,0.6219596428176358,Sweden,2016,1220154761.8421936,56565,21570.843487000682,94353.79784572218,18420472.53306982,0.10919127101515791,0.7572210287518355,1437.1755091036298,4293.728350135392,18339.765879732993
0.1563872995195888,0.4453846970780126,0.651214022418701,Slovakia,2016,370573494.83,4005,92527.71406491885,209218.2950518849,2656639.33,12.75,0.7961704312698726,3046.51,10274.82,66304.94
0.1486041863276485,0.308122420948611,0.4281246268632054,Austria,2017,1662498452.6699998,107402,15479.213168004319,110621.36986434183,34301266.99,0.17,0.576611803453829,3406.405,9281.595000000001,18448.42
0.16601877662356215,0.324279210911724,0.4570116990539744,Belgium,2017,684005729.65,38657,17694.226909744677,183008.10067550954,34031317.92,0.12,0.6344891366887175,2066.54,8687.25,22163.27
0.2442436667302233,0.6108394202767656,0.7742876801757578,Czechia,2017,1124040675.3904974,30071,37379.55756012429,120022.69204136156,3267444.9367503948,1.084716852000868,0.8429934131412795,1083.353926733893,4060.339719276348,18318.963086517684
0.19832421758860563,0.40917602215750104,0.5319784823969556,Germany,2017,6459716060.029999,249270,25914.534681389654,79524.53335699718,13253199.28,0.22,0.6561690852634658,4295.2325,11132.235,25737.0525
